name,gender,country,disciplines
Maboundou KONE,Female,Côte d'Ivoire,['Athletics']
Shakhzod NURMATOV,Male,Uzbekistan,['Rowing']
Anna PRAKATEN,Female,Uzbekistan,['Rowing']
Sobirjon SAFAROLIYEV,Male,Uzbekistan,['Rowing']
Mahdi OLFATI,Male,IR Iran,['Artistic Gymnastics']
Jiexian Stephenie CHEN,Female,Singapore,['Canoe Sprint']
Agustin MAZZILLI,Male,Argentina,['Hockey']
Federico MONJA,Male,Argentina,['Hockey']
Matias REY,Male,Argentina,['Hockey']
Tomas SANTIAGO,Male,Argentina,['Hockey']
Santiago TARAZONA,Male,Argentina,['Hockey']
Lucas TOSCANI,Male,Argentina,['Hockey']
Agustin VERNICE,Male,Argentina,['Canoe Sprint']
Janeek BROWN,Female,Jamaica,['Athletics']
Gonzalo Nahuel MOLINA,Male,Argentina,['Cycling BMX Racing']
Federico Emiliano VILLEGAS,Male,Argentina,['Cycling BMX Racing']
Lloydricia CAMERON,Female,Jamaica,['Athletics']
Jah-Nhai PERINCHIEF,Male,Bermuda,['Athletics']
Rushell CLAYTON,Female,Jamaica,['Athletics']
Flora DUFFY,Female,Bermuda,['Triathlon']
Alin Alexandru FIRFIRICA,Male,Romania,['Athletics']
Bianca Florentina GHELBER,Female,Romania,['Athletics']
Diana Ana Maria ION,Female,Romania,['Athletics']
Joan Chelimo MELLY,Female,Romania,['Athletics']
Delvine Relin MERINGOR,Female,Romania,['Athletics']
Andrea MIKLOS,Female,Romania,['Athletics']
Alexandru Mihaita NOVAC,Male,Romania,['Athletics']
H. S. PRANNOY,Male,India,['Badminton']
Satwiksairaj RANKIREDDY,Male,India,['Badminton']
Chirag SHETTY,Male,India,['Badminton']
Bob BERTEMES,Male,Luxembourg,['Athletics']
V. Sindhu PUSARLA,Female,India,['Badminton']
Anush AGARWALLA,Male,India,['Equestrian']
Tanisha CRASTO,Female,India,['Badminton']
Ashwini PONNAPPA,Female,India,['Badminton']
Alina ROTARU-KOTTMANN,Female,Romania,['Athletics']
Stella RUTTO,Female,Romania,['Athletics']
Daniela STANCIU,Female,Romania,['Athletics']
Elena Andreea TALOS,Female,Romania,['Athletics']
Andrei Rares TOADER,Male,Romania,['Athletics']
Filipe GOMES,Male,Malawi,['Swimming']
Daiana OCAMPO,Female,Argentina,['Athletics']
Emanuel ARCHIBALD,Male,Guyana,['Athletics']
Aliyah ABRAMS,Female,Guyana,['Athletics']
Raekwon Jibril NOEL,Male,Guyana,['Swimming']
Aleka Kylela PERSAUD,Female,Guyana,['Swimming']
Zahria ALLERS-LIBURD,Female,St Kitts and Nevis,['Athletics']
Cheickna TRAORE,Male,Côte d'Ivoire,['Athletics']
Whitney TIE,Female,Côte d'Ivoire,['Athletics']
Vijayveer SIDHU,Male,India,['Shooting']
Aishwary Pratap Singh TOMAR,Male,India,['Shooting']
Anant Jeet Singh NARUKA,Male,India,['Shooting']
Anish ANISH,Male,India,['Shooting']
Arjun BABUTA,Male,India,['Shooting']
Arjun Singh CHEEMA,Male,India,['Shooting']
Abderrahmane BOUSHITA,Male,Morocco,['Judo']
Sandeep SINGH,Male,India,['Shooting']
Sift Kaur SAMRA,Female,India,['Shooting']
Esha SINGH,Female,India,['Shooting']
Ramita RAMITA,Female,India,['Shooting']
Rajeshwari KUMARI,Female,India,['Shooting']
Rhythm SANGWAN,Female,India,['Shooting']
Lakshya SEN,Male,India,['Badminton']
Pascual Maria di TELLA,Male,Argentina,['Fencing']
Rachael DARRAGH,Female,Ireland,['Badminton']
Harry McNULTY,Male,Ireland,['Rugby Sevens']
Bryan MOLLEN,Male,Ireland,['Rugby Sevens']
Terry KENNEDY,Male,Ireland,['Rugby Sevens']
Grainne WALSH,Female,Ireland,['Boxing']
Jake PASSMORE,Male,Ireland,['Diving']
Sarah HEALY,Female,Ireland,['Athletics']
Luke McCANN,Male,Ireland,['Athletics']
Fionnuala McCORMACK,Female,Ireland,['Athletics']
Victoria CATTERSON,Female,Ireland,['Swimming']
Conor FERGUSON,Male,Ireland,['Swimming']
Daniel WIFFEN,Male,Ireland,"['Marathon Swimming', 'Swimming']"
Megan ARMITAGE,Female,Ireland,['Cycling Road']
